city,sum
서울특별시,2357
서울특별시,1374
서울특별시,199
서울특별시,565
서울특별시,430
서울특별시,315
서울특별시,32
서울특별시,760
서울특별시,3229
서울특별시,817
서울특별시,1946
서울특별시,731
서울특별시,991
서울특별시,96
서울특별시,3285
서울특별시,1
서울특별시,304
서울특별시,2642
서울특별시,86
서울특별시,623
서울특별시,75
서울특별시,2
서울특별시,244
서울특별시,4
서울특별시,95
서울특별시,1
서울특별시,115
서울특별시,231
서울특별시,110
서울특별시,141
서울특별시,162
서울특별시,1051
서울특별시,257
서울특별시,226
서울특별시,95
서울특별시,849
서울특별시,75
서울특별시,279
서울특별시,1304
서울특별시,255
서울특별시,142
서울특별시,236
서울특별시,122
서울특별시,1050
서울특별시,86
서울특별시,1052
서울특별시,1764
서울특별시,38
서울특별시,56
서울특별시,787
서울특별시,63
서울특별시,362
서울특별시,119
서울특별시,1043
서울특별시,45
서울특별시,500
서울특별시,879
서울특별시,25
서울특별시,852
서울특별시,163
서울특별시,482
서울특별시,1759
서울특별시,1644
서울특별시,2906
서울특별시,3705
서울특별시,3199
서울특별시,4288
서울특별시,3055
서울특별시,847
서울특별시,4768
서울특별시,18834
서울특별시,15606
서울특별시,610
서울특별시,1589
서울특별시,919
서울특별시,1582
서울특별시,904
서울특별시,4240
서울특별시,5824
서울특별시,11838
서울특별시,4110
서울특별시,1602
서울특별시,3566
서울특별시,8035
서울특별시,10
서울특별시,67
서울특별시,6
서울특별시,1
서울특별시,62
서울특별시,4
서울특별시,1
서울특별시,15
서울특별시,1
서울특별시,430
서울특별시,168
서울특별시,49
서울특별시,1
서울특별시,11
서울특별시,3
서울특별시,732
서울특별시,35
서울특별시,1
서울특별시,3296
서울특별시,869
서울특별시,37
서울특별시,14
서울특별시,275
서울특별시,15
서울특별시,533
서울특별시,150
서울특별시,551
서울특별시,50
서울특별시,15
서울특별시,1586
서울특별시,621
서울특별시,434
서울특별시,22
서울특별시,908
서울특별시,115
서울특별시,840
서울특별시,947
서울특별시,55
서울특별시,23
서울특별시,755
서울특별시,1673
서울특별시,2960
서울특별시,284
서울특별시,865
서울특별시,621
서울특별시,164
서울특별시,56
서울특별시,154
서울특별시,366
서울특별시,241
서울특별시,38
서울특별시,719
서울특별시,249
서울특별시,24
서울특별시,151
서울특별시,269
서울특별시,82
서울특별시,79
서울특별시,260
서울특별시,68435
서울특별시,2267
서울특별시,243
서울특별시,12589
서울특별시,28
서울특별시,530
서울특별시,1264
서울특별시,203
서울특별시,6090
서울특별시,8
서울특별시,1327
서울특별시,4598
서울특별시,16336
서울특별시,9073
서울특별시,2
서울특별시,2840
서울특별시,587
서울특별시,3686
서울특별시,4926
서울특별시,7280
서울특별시,3309
서울특별시,3572
서울특별시,6867
서울특별시,1678
서울특별시,2330
서울특별시,4982
서울특별시,662
서울특별시,2061
서울특별시,3667
서울특별시,10738
서울특별시,5326
서울특별시,6232
서울특별시,5820
서울특별시,2751
서울특별시,3220
서울특별시,7311
서울특별시,272
서울특별시,2367
서울특별시,8096
서울특별시,33109
서울특별시,14873
서울특별시,19528
서울특별시,6167
서울특별시,5635
서울특별시,854
서울특별시,12788
서울특별시,3613
서울특별시,30535
서울특별시,3969
서울특별시,4663
서울특별시,22068
서울특별시,6741
서울특별시,42075
서울특별시,15054
서울특별시,15033
서울특별시,9858
서울특별시,12445
서울특별시,14078
서울특별시,25602
서울특별시,28264
서울특별시,25641
서울특별시,10226
서울특별시,11505
서울특별시,80298
서울특별시,11190
서울특별시,77705
서울특별시,34236
서울특별시,91311
서울특별시,23562
서울특별시,19411
서울특별시,3741
서울특별시,30877
서울특별시,24254
서울특별시,46923
서울특별시,56102
서울특별시,70495
서울특별시,18622
서울특별시,10596
서울특별시,37856
서울특별시,37775
서울특별시,136025
서울특별시,43790
서울특별시,43706
서울특별시,52555
서울특별시,51443
서울특별시,58119
서울특별시,10418
서울특별시,1830
서울특별시,38529
서울특별시,971
서울특별시,525
서울특별시,153
서울특별시,3057
서울특별시,1137
서울특별시,1840
서울특별시,2350
서울특별시,4293
서울특별시,5657
서울특별시,3800
서울특별시,3135
서울특별시,3756
서울특별시,1187
서울특별시,2177
서울특별시,2919
서울특별시,2145
서울특별시,2008
서울특별시,3966
서울특별시,2380
서울특별시,3700
서울특별시,969
서울특별시,4032
서울특별시,970
서울특별시,1775
서울특별시,6229
서울특별시,1003
서울특별시,1699
서울특별시,2060
서울특별시,2618
서울특별시,79092
서울특별시,53850
서울특별시,38208
서울특별시,39726
서울특별시,9261
서울특별시,53094
서울특별시,34528
서울특별시,129831
서울특별시,49899
서울특별시,103315
서울특별시,10939
서울특별시,74506
서울특별시,73920
서울특별시,116914
서울특별시,46713
서울특별시,76177
서울특별시,78380
서울특별시,48253
서울특별시,198897
서울특별시,102902
서울특별시,13140
서울특별시,36537
서울특별시,65021
서울특별시,45845
서울특별시,31844
서울특별시,26471
서울특별시,84809
서울특별시,44620
서울특별시,46227
서울특별시,18456
서울특별시,54890
서울특별시,1156
서울특별시,5053
서울특별시,1091
서울특별시,444
서울특별시,3075
서울특별시,4631
서울특별시,986
서울특별시,3043
서울특별시,5097
서울특별시,27790
서울특별시,54997
서울특별시,6525
서울특별시,1587
서울특별시,840
서울특별시,382
서울특별시,11029
서울특별시,34526
서울특별시,48611
서울특별시,48671
서울특별시,46008
서울특별시,25046
서울특별시,25322
서울특별시,12383
서울특별시,21572
서울특별시,7453
서울특별시,1254
서울특별시,2649
서울특별시,16555
서울특별시,17940
서울특별시,5898
서울특별시,15515
서울특별시,5050
서울특별시,759
서울특별시,14827
서울특별시,7425
서울특별시,1448
서울특별시,1544
서울특별시,1021
서울특별시,19652
서울특별시,3686
서울특별시,16734
서울특별시,37770
서울특별시,14637
서울특별시,48183
서울특별시,9812
서울특별시,30239
서울특별시,174170
서울특별시,147150
서울특별시,120230
서울특별시,41429
서울특별시,74538
서울특별시,218877
서울특별시,44368
서울특별시,54543
서울특별시,44804
서울특별시,993
서울특별시,17964
서울특별시,70241
서울특별시,1683
서울특별시,11
서울특별시,5
서울특별시,35870
서울특별시,115842
서울특별시,8925
서울특별시,50579
서울특별시,83594
서울특별시,43875
서울특별시,14136
서울특별시,8938
서울특별시,16615
서울특별시,16437
서울특별시,24247
서울특별시,103043
서울특별시,102600
서울특별시,13949
서울특별시,3790
서울특별시,3926
서울특별시,1702
서울특별시,1426
서울특별시,1796
서울특별시,1828
서울특별시,9709
서울특별시,4919
서울특별시,32579
서울특별시,6644
서울특별시,4604
서울특별시,9098
서울특별시,12418
서울특별시,12882
서울특별시,3410
서울특별시,8237
서울특별시,17725
서울특별시,246
서울특별시,1124
서울특별시,13589
서울특별시,1964
서울특별시,4648
서울특별시,10760
서울특별시,5033
서울특별시,7171
서울특별시,12029
서울특별시,6685
서울특별시,5927
서울특별시,3900
서울특별시,104216
서울특별시,47851
서울특별시,31264
서울특별시,114867
서울특별시,9536
서울특별시,10977
서울특별시,29106
서울특별시,5577
서울특별시,97798
서울특별시,36975
서울특별시,45604
서울특별시,224285
서울특별시,244763
서울특별시,17990
서울특별시,97278
서울특별시,36006
서울특별시,27667
서울특별시,264
서울특별시,48769
서울특별시,68888
서울특별시,108410
서울특별시,8424
서울특별시,989
서울특별시,8009
서울특별시,71589
서울특별시,61571
서울특별시,25243
서울특별시,43393
서울특별시,80163
서울특별시,11163
서울특별시,42050
서울특별시,30262
서울특별시,14578
서울특별시,24890
서울특별시,3830
서울특별시,44671
서울특별시,22293
서울특별시,54002
서울특별시,106025
서울특별시,37742
서울특별시,36723
서울특별시,42604
서울특별시,31056
서울특별시,29590
서울특별시,84580
서울특별시,61904
서울특별시,43217
서울특별시,59056
서울특별시,37852
서울특별시,52491
서울특별시,36541
서울특별시,42868
서울특별시,46341
서울특별시,50882
서울특별시,45057
서울특별시,24282
서울특별시,66455
서울특별시,65681
서울특별시,85821
서울특별시,32871
부산광역시,11430
부산광역시,529
부산광역시,65
부산광역시,262
부산광역시,326
부산광역시,96
부산광역시,1291
부산광역시,566
부산광역시,62
부산광역시,137
부산광역시,59
부산광역시,137
부산광역시,98
부산광역시,2114
부산광역시,992
부산광역시,523
부산광역시,153
부산광역시,4439
부산광역시,6156
부산광역시,2178
부산광역시,2019
부산광역시,746
부산광역시,1074
부산광역시,731
부산광역시,1855
부산광역시,347
부산광역시,212
부산광역시,85
부산광역시,62
부산광역시,32
부산광역시,82
부산광역시,57
부산광역시,32
부산광역시,31
부산광역시,72
부산광역시,55
부산광역시,9
부산광역시,200
부산광역시,209
부산광역시,317
부산광역시,5531
부산광역시,6996
부산광역시,7505
부산광역시,5601
부산광역시,9125
부산광역시,15106
부산광역시,1443
부산광역시,1293
부산광역시,1200
부산광역시,315
부산광역시,3224
부산광역시,2705
부산광역시,1020
부산광역시,684
부산광역시,312
부산광역시,5909
부산광역시,314
부산광역시,1925
부산광역시,4093
부산광역시,1190
부산광역시,1156
부산광역시,697
부산광역시,13296
부산광역시,14646
부산광역시,29095
부산광역시,22330
부산광역시,13977
부산광역시,21268
부산광역시,1170
부산광역시,1294
부산광역시,1755
부산광역시,353
부산광역시,3135
부산광역시,1119
부산광역시,1793
부산광역시,1200
부산광역시,2635
부산광역시,1708
부산광역시,6175
부산광역시,1916
부산광역시,3670
부산광역시,2195
부산광역시,1427
부산광역시,3163
부산광역시,1952
부산광역시,5025
부산광역시,2740
부산광역시,23128
부산광역시,40741
부산광역시,31172
부산광역시,43678
부산광역시,19595
부산광역시,34264
부산광역시,6833
부산광역시,23689
부산광역시,21256
부산광역시,39894
부산광역시,43305
부산광역시,36520
부산광역시,55096
부산광역시,28267
부산광역시,40543
부산광역시,3281
부산광역시,20235
부산광역시,5707
부산광역시,11496
부산광역시,26330
부산광역시,84493
부산광역시,53095
부산광역시,92673
부산광역시,79912
부산광역시,8072
부산광역시,45727
부산광역시,12727
부산광역시,17536
부산광역시,36812
부산광역시,87110
부산광역시,61868
부산광역시,33760
부산광역시,59753
부산광역시,35283
부산광역시,348
부산광역시,70317
부산광역시,60738
부산광역시,80481
부산광역시,43150
부산광역시,87330
부산광역시,9650
부산광역시,58301
부산광역시,25695
부산광역시,46813
부산광역시,33958
부산광역시,37250
부산광역시,64078
부산광역시,12800
부산광역시,23555
부산광역시,1714
부산광역시,790
부산광역시,8917
부산광역시,27640
부산광역시,522
부산광역시,241
부산광역시,51329
부산광역시,44056
부산광역시,53187
부산광역시,24674
부산광역시,4936
부산광역시,2638
부산광역시,1003
부산광역시,6223
부산광역시,7002
부산광역시,4093
부산광역시,83806
부산광역시,417
부산광역시,460
부산광역시,406
부산광역시,974
부산광역시,1359
부산광역시,4049
부산광역시,1190
부산광역시,544
부산광역시,68
부산광역시,10381
부산광역시,82
부산광역시,1004
부산광역시,17182
부산광역시,994
부산광역시,1044
부산광역시,698
부산광역시,760
부산광역시,624
부산광역시,59976
부산광역시,143895
부산광역시,37493
부산광역시,14333
부산광역시,28242
부산광역시,67713
부산광역시,27126
부산광역시,5596
부산광역시,37250
부산광역시,21074
부산광역시,22971
부산광역시,12894
부산광역시,50610
부산광역시,27565
부산광역시,25536
부산광역시,8240
부산광역시,10486
부산광역시,110
부산광역시,1478
부산광역시,3152
부산광역시,14229
부산광역시,8104
부산광역시,1364
부산광역시,478
부산광역시,200
부산광역시,132
부산광역시,175
부산광역시,739
부산광역시,4147
부산광역시,1461
부산광역시,230
부산광역시,312
부산광역시,248
부산광역시,202
부산광역시,357
부산광역시,388
부산광역시,1144
부산광역시,256
부산광역시,470
부산광역시,511
부산광역시,3035
부산광역시,7328
부산광역시,6123
부산광역시,252
부산광역시,337
부산광역시,11572
부산광역시,133
부산광역시,28974
부산광역시,25610
부산광역시,158
부산광역시,535
부산광역시,19060
부산광역시,5289
부산광역시,436
부산광역시,470
부산광역시,315
부산광역시,304
부산광역시,502
부산광역시,296
부산광역시,83
부산광역시,499
부산광역시,364
부산광역시,122
부산광역시,310
부산광역시,260
부산광역시,330
부산광역시,89
부산광역시,587
부산광역시,454
부산광역시,248
부산광역시,298
부산광역시,161
부산광역시,4552
부산광역시,298
부산광역시,462
대구광역시,1021
대구광역시,1107
대구광역시,2763
대구광역시,2732
대구광역시,114
대구광역시,2251
대구광역시,4048
대구광역시,2281
대구광역시,199
대구광역시,93
대구광역시,200
대구광역시,12
대구광역시,132
대구광역시,86
대구광역시,2
대구광역시,13
대구광역시,258
대구광역시,60
대구광역시,41
대구광역시,551
대구광역시,74
대구광역시,244
대구광역시,25
대구광역시,429
대구광역시,781
대구광역시,26
대구광역시,6
대구광역시,302
대구광역시,130
대구광역시,3062
대구광역시,411
대구광역시,411
대구광역시,231
대구광역시,161
대구광역시,209
대구광역시,239
대구광역시,101
대구광역시,76
대구광역시,668
대구광역시,789
대구광역시,125
대구광역시,10
대구광역시,81
대구광역시,89
대구광역시,78
대구광역시,57
대구광역시,126
대구광역시,7
대구광역시,304
대구광역시,173
대구광역시,29
대구광역시,273
대구광역시,109
대구광역시,7466
대구광역시,494
대구광역시,31728
대구광역시,12234
대구광역시,42299
대구광역시,40739
대구광역시,26043
대구광역시,316
대구광역시,15083
대구광역시,10345
대구광역시,2950
대구광역시,9572
대구광역시,6028
대구광역시,10083
대구광역시,29084
대구광역시,1376
대구광역시,390
대구광역시,2547
대구광역시,2858
대구광역시,5249
대구광역시,8992
대구광역시,32395
대구광역시,9844
대구광역시,1407
대구광역시,67
대구광역시,131
대구광역시,19036
대구광역시,26991
대구광역시,119
대구광역시,5904
대구광역시,225
대구광역시,2782
대구광역시,3882
대구광역시,1743
대구광역시,93
대구광역시,189
대구광역시,512
대구광역시,297
대구광역시,833
대구광역시,377
대구광역시,239
대구광역시,234
대구광역시,338
대구광역시,155
대구광역시,233
대구광역시,854
대구광역시,306
대구광역시,574
대구광역시,16336
대구광역시,35467
대구광역시,50598
대구광역시,47423
대구광역시,1444
대구광역시,17609
대구광역시,441
대구광역시,1822
대구광역시,1155
대구광역시,4384
대구광역시,11581
대구광역시,36964
대구광역시,93228
대구광역시,878
대구광역시,22143
대구광역시,23
대구광역시,1579
대구광역시,3116
대구광역시,41725
대구광역시,2008
대구광역시,4070
대구광역시,5068
대구광역시,17111
대구광역시,37051
대구광역시,38504
대구광역시,6277
대구광역시,11023
대구광역시,13846
대구광역시,1253
대구광역시,804
대구광역시,26217
대구광역시,189
대구광역시,9164
대구광역시,239
대구광역시,20673
대구광역시,34320
대구광역시,27369
대구광역시,15989
대구광역시,46180
대구광역시,12999
대구광역시,4533
대구광역시,846
대구광역시,16766
대구광역시,9740
대구광역시,68028
대구광역시,52043
대구광역시,17397
대구광역시,3336
대구광역시,8096
대구광역시,13966
대구광역시,35111
대구광역시,12520
대구광역시,15807
대구광역시,12105
대구광역시,14597
대구광역시,39269
대구광역시,27718
대구광역시,19404
대구광역시,16703
대구광역시,240
대구광역시,11707
대구광역시,30724
대구광역시,4359
대구광역시,6365
대구광역시,430
대구광역시,549
대구광역시,603
대구광역시,250
대구광역시,271
대구광역시,196
대구광역시,22723
대구광역시,21809
대구광역시,6594
대구광역시,76
대구광역시,229
대구광역시,16472
대구광역시,38082
대구광역시,162
대구광역시,17261
대구광역시,57153
대구광역시,8060
대구광역시,32809
대구광역시,19836
대구광역시,64773
대구광역시,34431
대구광역시,30429
대구광역시,23160
대구광역시,10811
대구광역시,54650
대구광역시,268
대구광역시,36196
대구광역시,21120
대구광역시,11900
대구광역시,7924
대구광역시,13963
대구광역시,8210
대구광역시,4333
대구광역시,2410
대구광역시,11212
대구광역시,6575
대구광역시,432
대구광역시,3106
대구광역시,451
대구광역시,230
대구광역시,212
대구광역시,176
대구광역시,5554
대구광역시,7070
대구광역시,127
대구광역시,153
대구광역시,133
대구광역시,164
대구광역시,8
대구광역시,25845
대구광역시,14088
대구광역시,20024
대구광역시,30265
대구광역시,224
대구광역시,372
대구광역시,211
대구광역시,193
대구광역시,180
대구광역시,143
대구광역시,24406
대구광역시,2661
대구광역시,111
대구광역시,217
대구광역시,275
대구광역시,375
대구광역시,218
대구광역시,170
대구광역시,283
대구광역시,120
대구광역시,416
대구광역시,9823
대구광역시,6789
대구광역시,66
대구광역시,566
대구광역시,399
대구광역시,413
대구광역시,491
대구광역시,5707
대구광역시,1
대구광역시,1088
대구광역시,14405
대구광역시,1870
대구광역시,475
대구광역시,546
대구광역시,1084
대구광역시,131
대구광역시,137
대구광역시,253
대구광역시,2850
대구광역시,106
대구광역시,3196
대구광역시,292
대구광역시,291
대구광역시,421
대구광역시,498
대구광역시,373
대구광역시,416
대구광역시,474
대구광역시,325
대구광역시,252
대구광역시,565
대구광역시,554
대구광역시,561
대구광역시,335
대구광역시,245
대구광역시,327
대구광역시,241
대구광역시,471
대구광역시,229
대구광역시,426
대구광역시,633
대구광역시,6587
대구광역시,9534
대구광역시,204
대구광역시,145
대구광역시,219
대구광역시,124
대구광역시,51
대구광역시,119
대구광역시,129
대구광역시,199
대구광역시,1799
대구광역시,203
대구광역시,116
대구광역시,105
대구광역시,132
인천광역시,70
인천광역시,65
인천광역시,271
인천광역시,61
인천광역시,55
