"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물운송업","02_03_12_P","3530000","353000005020220029","20221130","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 남동구 구월동 **","인천광역시 남동구 용천로 **, *층 (구월동)","21562","에꼴드독","20221130150751","I","2022-12-02 00:40:06.0","","174709.529329083","439312.622468391","동물운송업","동물운송업","000","0",
"2","동물운송업","02_03_12_P","3990000","399000005020220041","20221130","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 오남읍 오남리 ***-* 유호아파트","경기도 남양주시 오남읍 진건오남로 ***, ***동 ***호 (유호아파트)","12039","pet41다6392","20221130204123","I","2022-12-02 00:40:06.0","","218724.497475176","464575.891109264","동물운송업","동물운송업","000","0",
"3","동물운송업","02_03_12_P","4390000","439000005020220001","20221130","","01","영업/정상","0000","정상","","","","","","0","","충청북도 충주시 용관동 ***-*","충청북도 충주시 창현로 ****(용관동)","27475","띵독","20221130100858","I","2022-12-02 00:40:06.0","","278653.790054899","384240.990154422","동물운송업","동물운송업","000","0",
"4","동물운송업","02_03_12_P","6520000","652000005020220002","20221221","","01","영업/정상","0000","정상","","","","","01040980717","0","","제주특별자치도 서귀포시 대정읍 하모리 1099-1","제주특별자치도 서귀포시 대정읍 신영로36번길 12-4","63506","모 마실까? 모 먹을까?","20221221092321","I","2022-12-23 00:40:13.0","","129732.981350688","-30168.6552666434","동물운송업","동물운송업","000","0",
"5","동물운송업","02_03_12_P","3130000","313000005020220014","20221115","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 마포구 상암동 **** 상암월드컵*단지","서울특별시 마포구 월드컵로**길 **, ***동 ***호 (상암동, 상암월드컵*단지)","03906","pet59구2189","20221115100517","I","2022-11-17 00:22:24.0","","189586.493821292","452818.681041136","동물운송업","동물운송업","000","0",
"6","동물운송업","02_03_12_P","3130000","313000005020220015","20221115","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 마포구 염리동 ***-*","서울특별시 마포구 숭문길 **-**(염리동)","04138","pet148라8695","20221115101423","I","2022-11-17 00:22:24.0","","195161.210941486","449565.845678497","동물운송업","동물운송업","000","0",
"7","동물운송업","02_03_12_P","3930000","393000005020220023","20221202","","01","영업/정상","0000","정상","","","","","","0","","경기도 안산시 단원구 고잔동 *** 무진*차","경기도 안산시 단원구 인현중앙길 **, *동 ***호 (고잔동, 무진*차)","15345","pet331주9882","20221202174953","I","2022-12-04 00:39:59.0","","184014.701454587","424542.952446058","동물운송업","동물운송업","000","0",
"8","동물운송업","02_03_12_P","3030000","303000005020220007","20221209","","01","영업/정상","0000","정상","","","","","010-3785-4992","0","","서울특별시 성동구 행당동 346 행당 한진타운","서울특별시 성동구 행당로 82, 112동 1805호 (행당동, 행당 한진타운)","04717","pet05서0418","20221209091335","I","2022-12-11 00:40:50.0","","202511.142930696","450401.303715561","동물운송업","동물운송업","000","0",
"9","동물운송업","02_03_12_P","3070000","307000005020220016","20221202","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 성북구 길음동 **** 길음뉴타운 ***동 ***호","서울특별시 성북구 길음로 ***, ***동 ***호 (길음동, 길음뉴타운)","02723","pet280모9570","20221202131900","I","2022-12-04 00:39:59.0","","201665.346470935","456637.258124599","동물운송업","동물운송업","000","0",
"10","동물운송업","02_03_12_P","3240000","324000005020220019","20221115","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강동구 성내동 ***-**","서울특별시 강동구 풍성로**길 **-*(성내동)","05403","pet25소7018","20221115092657","I","2022-11-17 00:22:24.0","","211606.998052664","447351.535859777","동물운송업","동물운송업","000","0",
