"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물위탁관리업","02_03_10_P","4640000","464000004820220023","20221130","","01","영업/정상","0000","정상","","","","","","0","","전라북도 전주시 덕진구 장동 ****-*","전라북도 전주시 덕진구 중동로 ***-*, *층 ***호 (장동)","54861","베러멍(Better멍)","20221130164719","I","2022-12-02 00:40:06.0","","205748.548436871","260292.759510688","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","3730000","373000004820220008","20221129","","01","영업/정상","0000","정상","","","","","0522456990","0","","울산광역시 울주군 범서읍 구영리 ***-*","울산광역시 울주군 범서읍 점촌*길 **, 나동","44923","퍼피멍멍","20221129083848","I","2022-12-01 00:39:56.0","","403114.660172671","232326.93832911","동물위탁관리업","동물위탁관리업","000","0",
"3","동물위탁관리업","02_03_10_P","3990000","399000004820220036","20221202","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 별내면 광전리 ***-*","경기도 남양주시 별내면 송산로 ***, *층","12090","뀨카페","20221202102459","I","2022-12-04 00:39:59.0","","211049.410455508","466162.436853987","동물위탁관리업","동물위탁관리업","000","0",
"4","동물위탁관리업","02_03_10_P","4000000","400000004820220010","20221221","","01","영업/정상","0000","정상","","","","","010-8994-6972","0","","경기도 오산시 궐동 682-3 골드뷰아파트 101호","경기도 오산시 대호로 97, 101호 (궐동, 골드뷰아파트)","18123","냥냥키티","20221221155703","I","2022-12-23 00:40:13.0","","204720.677563711","406353.443157813","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","5710000","571000004820220018","20221209","","01","영업/정상","0000","정상","","","","","010-5536-6931","0","","충청북도 청주시 청원구 내수읍 마산리 15-7","충청북도 청주시 청원구 내수읍 마산1길 39, 1층","28145","CEMENTO","20221209135506","I","2022-12-11 00:40:50.0","","248181.963978002","357894.912624745","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","4090000","409000004820220043","20221115","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 구래동 ****-**","경기도 김포시 김포한강*로***번길 **, *층 ***호 (구래동)","10063","프리티멍","20221115093715","I","2022-11-17 00:22:24.0","","167517.540684753","460973.630283191","동물위탁관리업","동물위탁관리업","000","0",
"7","동물위탁관리업","02_03_10_P","4010000","401000004820220028","20221202","","01","영업/정상","0000","정상","","","","","","0","","경기도 시흥시 배곧동 *** 파크뷰*","경기도 시흥시 배곧*로 **-**, 파크뷰* *층 ***호 (배곧동)","15010","펫 프렌들리 호텔","20221202092422","I","2022-12-04 00:39:59.0","","175565.079362152","430703.257147068","동물위탁관리업","동물위탁관리업","000","0",
"8","동물위탁관리업","02_03_10_P","6520000","652000004820220008","20221115","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 신효동 ***-*","제주특별자치도 서귀포시 하신상로 ***-**(신효동)","63605","제주에니멀119 주식회사","20221115100207","I","2022-11-17 00:22:24.0","","163597.377005565","-24619.7177812153","동물위탁관리업","동물위탁관리업","L00","0",
"9","동물위탁관리업","02_03_10_P","4050000","564000004820220005","20221202","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 수지구 동천동 ***-** 지하*층,*층","경기도 용인시 수지구 동천로***번길 *, 지하*층,*층 (동천동)","16802","헬로우버디","20221202155911","I","2022-12-04 00:39:59.0","","207268.220403724","426299.59720521","동물위탁관리업","동물위탁관리업","000","0",
"10","동물위탁관리업","02_03_10_P","3040000","304000004820220003","20221115","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 광진구 중곡동 **-** *층","서울특별시 광진구 긴고랑로 **, *층 (중곡동)","04922","댕댕큘럼","20221115091220","I","2022-11-17 00:22:24.0","","207396.728768095","450958.047170467","동물위탁관리업","동물위탁관리업","000","0",
