발생년도,경찰서,살인,강도,절도,폭력
2021,서울중부경찰서,4 ,3 ,765 ,945 
2021,서울종로경찰서,3 ,2 ,513 ,815 
2021,서울남대문경찰서,2 ,3 ,514 ,464 
2021,서울서대문경찰서,3 ,2 ,1027 ,1109 
2021,서울혜화경찰서,3 ,2 ,566 ,652 
2021,서울용산경찰서,3 ,1 ,945 ,1291 
2021,서울성북경찰서,3 ,0 ,391 ,610 
2021,서울동대문경찰서,3 ,7 ,1240 ,1540 
2021,서울마포경찰서,4 ,4 ,1510 ,1701 
2021,서울영등포경찰서,8 ,11 ,1712 ,2169 
2021,서울성동경찰서,3 ,4 ,905 ,1090 
2021,서울동작경찰서,2 ,1 ,1129 ,1319 
2021,서울광진경찰서,5 ,4 ,1414 ,1456 
2021,서울서부경찰서,2 ,1 ,706 ,782 
2021,서울강북경찰서,4 ,1 ,777 ,1383 
2021,서울금천경찰서,7 ,3 ,1013 ,1282 
2021,서울중랑경찰서,4 ,6 ,1399 ,1660 
2021,서울강남경찰서,8 ,13 ,1517 ,1961 
2021,서울관악경찰서,8 ,7 ,1860 ,2248 
2021,서울강서경찰서,9 ,3 ,1540 ,2098 
2021,서울강동경찰서,3 ,6 ,1612 ,1713 
2021,서울종암경찰서,1 ,2 ,504 ,782 
2021,서울구로경찰서,5 ,2 ,1390 ,1907 
2021,서울서초경찰서,9 ,5 ,1190 ,1488 
2021,서울양천경찰서,1 ,3 ,1349 ,1546 
2021,서울송파경찰서,3 ,7 ,2024 ,2433 
2021,서울노원경찰서,6 ,3 ,1361 ,1899 
2021,서울방배경찰서,0 ,0 ,313 ,339 
2021,서울은평경찰서,2 ,2 ,718 ,865 
2021,서울도봉경찰서,2 ,2 ,772 ,1012 
2021,서울수서경찰서,4 ,12 ,855 ,1198 
2021,부산중부경찰서,3 ,2 ,583 ,565 
2021,부산동래경찰서,2 ,1 ,922 ,1124 
2021,부산영도경찰서,4 ,1 ,299 ,512 
2021,부산동부경찰서,2 ,0 ,478 ,656 
2021,부산진경찰서,2 ,5 ,2177 ,2614 
2021,부산서부경찰서,1 ,2 ,414 ,625 
2021,부산남부경찰서,4 ,6 ,1194 ,1638 
2021,부산해운대경찰서,4 ,10 ,1238 ,1585 
2021,부산사상경찰서,4 ,7 ,948 ,1070 
2021,부산금정경찰서,5 ,2 ,778 ,793 
2021,부산사하경찰서,4 ,2 ,907 ,1249 
2021,부산연제경찰서,5 ,3 ,886 ,1382 
2021,부산강서경찰서,0 ,3 ,356 ,537 
2021,부산북부경찰서,5 ,7 ,926 ,1057 
2021,부산기장경찰서,1 ,0 ,564 ,688 
2021,대구중부경찰서,3 ,5 ,1337 ,925 
2021,대구동부경찰서,5 ,2 ,1313 ,1612 
2021,대구서부경찰서,1 ,3 ,773 ,1137 
2021,대구남부경찰서,2 ,3 ,647 ,991 
2021,대구북부경찰서,2 ,4 ,810 ,1007 
2021,대구수성경찰서,5 ,0 ,1148 ,1444 
2021,대구달서경찰서,1 ,1 ,919 ,1037 
2021,대구성서경찰서,3 ,3 ,1071 ,1173 
2021,대구달성경찰서,2 ,2 ,565 ,775 
2021,대구강북경찰서,0 ,0 ,722 ,901 
2021,인천중부경찰서,5 ,3 ,538 ,1267 
2021,인천미추홀경찰서,5 ,10 ,1315 ,2369 
2021,인천남동경찰서,10 ,0 ,799 ,1802 
2021,인천부평경찰서,1 ,8 ,962 ,1510 
2021,인천서부경찰서,6 ,3 ,1504 ,2574 
2021,인천계양경찰서,3 ,2 ,661 ,1307 
2021,인천강화경찰서,1 ,0 ,146 ,298 
2021,인천연수경찰서,4 ,1 ,943 ,1318 
2021,인천삼산경찰서,3 ,4 ,826 ,1624 
2021,인천논현경찰서,2 ,3 ,477 ,879 
2021,광주동부경찰서,2 ,1 ,494 ,677 
2021,광주서부경찰서,4 ,3 ,1106 ,1366 
2021,광주북부경찰서,2 ,3 ,1465 ,2087 
2021,광주광산경찰서,1 ,5 ,1184 ,1631 
2021,광주남부경찰서,0 ,1 ,636 ,839 
2021,대전중부경찰서,4 ,4 ,888 ,1254 
2021,대전동부경찰서,6 ,1 ,890 ,1050 
2021,대전서부경찰서,4 ,0 ,772 ,1200 
2021,대전대덕경찰서,0 ,2 ,572 ,1015 
2021,대전둔산경찰서,2 ,1 ,820 ,1257 
2021,대전유성경찰서,2 ,1 ,1102 ,1354 
2021,울산남부경찰서,6 ,7 ,1063 ,1775 
2021,울산중부경찰서,2 ,0 ,624 ,980 
2021,울산울주경찰서,2 ,1 ,533 ,819 
2021,울산동부경찰서,1 ,1 ,487 ,742 
2021,울산북부경찰서,3 ,2 ,445 ,730 
2021,세종북부경찰서,4 ,1 ,885 ,722 
2021,세종남부경찰서,0 ,0 ,158 ,143 
2021,경기수원중부경찰서,6 ,2 ,1202 ,1676 
2021,경기수원남부경찰서,7 ,2 ,1774 ,2341 
2021,경기수원서부경찰서,2 ,3 ,1228 ,1639 
2021,경기안양동안경찰서,1 ,1 ,633 ,1052 
2021,경기안양만안경찰서,4 ,3 ,825 ,1295 
2021,경기군포경찰서,1 ,0 ,663 ,944 
2021,경기성남수정경찰서,7 ,4 ,935 ,1223 
2021,경기성남중원경찰서,2 ,0 ,776 ,1152 
2021,경기분당경찰서,4 ,7 ,989 ,1149 
2021,경기부천소사경찰서,2 ,1 ,874 ,1044 
2021,경기부천원미경찰서,6 ,5 ,1606 ,2459 
2021,경기부천오정경찰서,2 ,0 ,545 ,939 
